period	v1ipm	v1abs
1998	129.32846196126613	4
1999	53.16568420912722	32
2000	64.64089290620068	12
2001	154.20200462606013	42
2002	299.11900985963985	53
2003	242.26837745413206	52
2004	170.3867779860283	99
2005	105.74184831474754	481
2006	114.56312708657174	899
2007	111.86337898302314	2048
2008	116.36554899362379	4823
2009	113.97216425161022	8142
2010	120.46939285877443	11057
2011	125.3504787813936	11698
2012	124.25516486224195	8839
2013	126.51756883855225	6528
2014	200.28535404584593	4285
2015		
2016		
2017		
