period	v1ipm	v1abs
2000	70.0317118368531	436
2001	91.68200207733453	541
2002	103.46676771892169	1197
2003	111.239049443224	1427
2004	104.00698156246885	4988
2005	109.3943142415896	8892
2006	121.50903241342658	14811
2007	139.64784674383304	24137
2008	132.04333914077114	32265
2009	136.57555025696294	41532
2010	140.56451942446253	51457
2011	139.5595501342676	52458
2012	134.89534431856578	48883
2013	128.1737640048623	41824
2014	127.23722907882784	35714
2015	124.30545099267827	30067
2016	108.5967957461864	24254
2017	111.72026294933853	20964
2018	105.44953296351875	20045
2019	107.5813338404722	20125
2020	111.66532730269972	24676
2021	112.98030467537282	24126
