period	v1ipm	v1abs
2004	13.417145770580225	6
2005	24.84362152136279	82
2006	25.646489271258606	107
2007	25.480322143556496	141
2008	25.995734100034184	200
2009	23.02227122605444	204
2010	26.029713170791783	257
2011	33.343776046474574	311
2012	30.90729895247306	295
2013	36.31329391013169	507
2014	34.02329083967367	547
2015	38.896039789555246	747
2016	38.65705038790049	840
2017	41.964362673676526	889
2018	35.28604387011802	664
2019	30.643315365953693	560
2020	32.572545986257374	522
2021	36.317523305134955	544
2022	37.126999509168485	354
