period	v1ipm	v1abs
1998	1293.2846196126613	40
1999	1684.6876183767188	1014
2000	1449.0333493139985	269
2001	2257.957924881595	615
2002	2759.7961475729035	489
2003	2720.8602391002523	584
2004	2438.7683273353746	1417
2005	2184.5254609223416	9937
2006	2427.489441459516	19049
2007	2047.7334365593447	37490
2008	1879.944193755998	77918
2009	1808.9266604940842	129227
2010	1846.0787724703828	169438
2011	1805.977004005686	168538
2012	1828.4304251767421	130067
2013	1866.7930860396798	96322
2014	3006.897808896923	64331
2015		
2016		
2017		
