period	v1ipm	v1abs
2000	2241.1754019715854	13953
2001	2252.7335556636003	13293
2002	2333.9233042427772	27001
2003	2276.0741174795057	29198
2004	2270.409019131801	108885
2005	2356.775752432842	191568
2006	2492.063210654223	303763
2007	2432.691294205006	420471
2008	2455.0239167462596	599889
2009	2472.5199335044254	751882
2010	2562.6657167163635	938125
2011	2583.724602934683	971177
2012	2652.821271014714	961322
2013	2724.780417539766	889115
2014	2852.178142894227	800573
2015	3079.246161670759	744808
2016	3009.7977601613125	672208
2017	3236.865998499131	607389
2018	3448.5127359994217	655531
2019	3421.653055699045	640081
2020	3435.089019000686	759092
2021	3445.3607559563416	735728
