period	v1ipm	v1abs
2004	1567.5698641961228	701
2005	1587.2650384197518	5239
2006	1625.0766098984423	6780
2007	1766.8163801244814	9777
2008	1773.0390442928315	13641
2009	1929.356612159935	17096
2010	2065.7666530407364	20396
2011	2100.0146026440434	19587
2012	2264.8240049342717	21617
2013	2318.679021208468	32373
2014	2440.1603709894657	39231
2015	2531.4188358889123	48616
2016	2609.3969214813637	56701
2017	2575.2146295415328	54555
2018	2421.079627528173	45559
2019	2341.6964960189684	42794
2020	2203.888413196599	35319
2021	2135.4570183113087	31987
2022	2215.768696695487	21127
