period	v1ipm	v1abs
1998	517.3138478450645	16
1999	510.05828288131426	307
2000	398.6188395882375	74
2001	605.7935896023791	165
2002	417.63786282289334	74
2003	521.8088129781306	112
2004	327.0049274479331	190
2005	654.4563044345185	2977
2006	684.0654796448467	5368
2007	601.0471788716732	11004
2008	533.2114104829122	22100
2009	515.9683092992327	36860
2010	519.5208519204975	47683
2011	541.7888149825646	50561
2012	572.6365132552806	40735
2013	602.7608622009518	31101
2014	913.3666519042883	19541
2015		
2016		
2017		
