period	v1ipm	v1abs
2003	574.6250655456827	3933
2004	564.3194066710116	54433
2005	595.5605102878951	138396
2006	633.8993669359872	297389
2007	656.3279483637529	416742
2008	660.9350812513436	411592
2009	684.5754665746512	406129
2010	693.819797154271	285955
2011	710.9206734473739	256431
2012	703.5684310197435	204344
2013	715.0992395555161	148567
2014	709.6433242035827	98298
2015	691.4117183101752	61386
2016	690.4533210349869	44171
2017	748.7587326076914	46087
2018	736.9006932018382	41652
2019	731.335667880933	33460
2020	747.3547546725324	31157
2021	702.3150940687192	28581
