period	v1ipm	v1abs
2004	590.3544139055298	264
2005	562.6171361606182	1857
2006	512.929785425172	2140
2007	524.4247862453968	2902
2008	505.7470069161651	3891
2009	543.9575848508941	4820
2010	578.5280997337069	5712
2011	596.8643127032925	5567
2012	598.6586651336647	5714
2013	613.1001890941366	8560
2014	641.901940521814	10320
2015	696.5359093238026	13377
2016	680.2260259328061	14781
2017	665.434893825442	14097
2018	604.8049175991163	11381
2019	588.5705358503534	10756
2020	545.434146486352	8741
2021	531.1437783375987	7956
2022	552.8147299797374	5271
