period	v1ipm	v1abs
2003	33.311598002648275	228
2004	41.81103681781621	4033
2005	49.66016567474717	11540
2006	57.345075536347565	26903
2007	69.7776227982887	44306
2008	70.00170799478566	43593
2009	79.32990548176272	47063
2010	74.83271907758923	30842
2011	84.34092885655794	30422
2012	78.70488374838664	22859
2013	74.36566162830727	15450
2014	71.61551380597305	9920
2015	72.60352419488791	6446
2016	56.16351865429146	3593
2017	58.82907047046782	3621
2018	56.86158714949361	3214
2019	56.74080674892116	2596
2020	61.19016526525756	2551
2021	57.52491638553135	2341
