period	v1ipm	v1abs
2000	55.896870915653395	348
2001	58.46634143563847	345
2002	105.88704298720054	1225
2003	89.95785778379853	1154
2004	71.79150712100648	3443
2005	77.39537009602341	6291
2006	81.40801624727783	9923
2007	93.36277511311407	16137
2008	110.70114129111604	27050
2009	112.69488845483289	34270
2010	118.21384025678947	43275
2011	118.41730786584287	44511
2012	119.41699834383354	43274
2013	114.60372223426337	37396
2014	95.86791166719433	26909
2015	93.1412347561795	22529
2016	76.1395444736497	17005
2017	79.54819524159397	14927
2018	69.03012080555216	13122
2019	76.01523315336718	14220
2020	74.7120503228875	16510
2021	64.01561655112106	13670
