period	v1ipm	v1abs
2004	0	0
2005	5.453477894933295	18
2006	3.8349890499078287	16
2007	3.9756531004130706	22
2008	3.3794454330044443	26
2009	4.965587911501938	44
2010	5.87440997628764	58
2011	5.039091556862718	47
2012	5.343295751105512	51
2013	5.443412893826446	76
2014	5.908981041625226	95
2015	5.050757509487093	97
2016	5.246313981215066	114
2017	4.720400750694772	100
2018	5.314163233451509	100
2019	4.81537812893558	88
2020	5.865554258061675	94
2021	5.1405317913518225	77
2022	6.397590310901913	61
