period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
200401	5	5	0	1.0000000000	0.0000000000	30120.481927710844	0.0
200402	0	0	0	NaN	NaN	0.0	0.0
200403	0	0	0	NaN	NaN	0.0	0.0
200404	0	0	0	NaN	NaN	0.0	0.0
200405	0	0	0	NaN	NaN	0.0	0.0
200406	0	0	0	NaN	NaN	0.0	0.0
200407	0	0	0	NaN	NaN	0.0	0.0
200408	10	10	0	1.0000000000	0.0000000000	8613.264427217917	0.0
200409	14	14	0	1.0000000000	0.0000000000	7360.672975814932	0.0
200410	144	138	6	0.9583333333	0.0416666667	6645.158183656763	288.91992102855494
200411	1536	1524	12	0.9921875000	0.0078125000	7203.221598321139	56.71828030174125
200412	1918	1902	16	0.9916579771	0.0083420229	8987.765864446344	75.60686321300815
200501	1981	1973	8	0.9959616355	0.0040383645	8526.508669121333	34.572767031409356
200502	1600	1592	8	0.9950000000	0.0050000000	7369.722107777557	37.03377943606813
200503	1939	1930	9	0.9953584322	0.0046415678	8088.241457056886	37.71718814171605
200504	1828	1815	13	0.9928884026	0.0071115974	7686.704330812037	55.056284463116526
200505	2532	2460	72	0.9715639810	0.0284360190	7914.141219163803	231.63340153650157
200506	2282	2219	63	0.9723926380	0.0276073620	7790.5572407594655	221.1830131445905
200507	2331	2278	53	0.9772629773	0.0227370227	7926.097319114141	184.40876115586022
200508	2395	2310	85	0.9645093946	0.0354906054	8294.762091141842	305.2185185052192
200509	2669	2588	81	0.9696515549	0.0303484451	8301.630173282094	259.82691036933915
200510	2400	2357	43	0.9820833333	0.0179166667	7833.193197717506	142.90509440044667
200511	2435	2383	52	0.9786447639	0.0213552361	7733.974639833053	168.76486834717528
200512	2570	2482	88	0.9657587549	0.0342412451	8380.52018651891	297.1336730111459
200601	2650	2565	85	0.9679245283	0.0320754717	7605.340639204419	252.02883209839203
200602	2106	2025	81	0.9615384615	0.0384615385	7430.810894119201	297.23243576476807
200603	2571	2439	132	0.9486581097	0.0513418903	7109.584968139498	384.7745862215719
200604	2544	2444	100	0.9606918239	0.0393081761	7448.449052486575	304.7646911819384
200605	3104	3013	91	0.9706829897	0.0293170103	8070.823957998499	243.75870566805958
200606	2404	2358	46	0.9808652246	0.0191347754	8148.680591073083	158.96493095392782
200607	2311	2282	29	0.9874513198	0.0125486802	7557.592698080464	96.04302727621975
200608	2794	2721	73	0.9738725841	0.0261274159	7800.741371451179	209.2811907813069
200609	3060	2954	106	0.9653594771	0.0346405229	7430.119400056845	266.619044145574
200610	3144	3016	128	0.9592875318	0.0407124682	7204.314945131594	305.7534194220305
200611	3188	3051	137	0.9570263488	0.0429736512	7682.564783082746	344.97259104632457
200612	2962	2843	119	0.9598244429	0.0401755571	7802.743996991978	326.60096223779294
200701	3349	3220	129	0.9614810391	0.0385189609	7288.34927942671	291.98666367889615
200702	3188	3045	143	0.9551442911	0.0448557089	7592.3612617532	356.55423987872166
200703	3823	3578	245	0.9359142035	0.0640857965	7565.969630392446	518.0722636797509
200704	3816	3632	184	0.9517819706	0.0482180294	8226.798706181877	416.7761459078925
200705	3913	3756	157	0.9598773320	0.0401226680	7792.999993775559	325.74573988891444
200706	3258	3155	103	0.9683855126	0.0316144874	7825.96832405214	255.4912004365675
200707	3188	3079	109	0.9658092848	0.0341907152	8059.091277911703	285.3007305269164
200708	3360	3246	114	0.9660714286	0.0339285714	7323.941119664985	257.21789514535067
200709	3982	3802	180	0.9547965846	0.0452034154	7833.58676078509	370.8694415942441
200710	4271	4136	135	0.9683914774	0.0316085226	7932.824169796194	258.9292221766166
200711	4714	4488	226	0.9520577005	0.0479422995	7799.601678096119	392.76069056366373
200712	3909	3750	159	0.9593246355	0.0406753645	7749.246773213644	328.5680631842585
200801	4943	4739	204	0.9587295165	0.0412704835	7702.397186243931	331.565525637004
200802	4814	4603	211	0.9561695056	0.0438304944	7616.737296198912	349.14872246316975
200803	5203	4923	280	0.9461848933	0.0538151067	7763.220971892819	441.5400918403391
200804	5528	5205	323	0.9415701881	0.0584298119	7299.894533704335	453.000179517099
200805	5156	4840	316	0.9387121800	0.0612878200	7205.726468241207	470.45652148021105
200806	4637	4427	210	0.9547120983	0.0452879017	7915.888101134545	375.4995485064953
200807	4706	4509	197	0.9581385465	0.0418614535	7902.235899880477	345.25182352549433
200808	4253	4089	164	0.9614389842	0.0385610158	7484.871005414588	300.20025553631507
200809	5569	5275	294	0.9472077572	0.0527922428	7499.832942109821	418.0001677687748
200810	6137	5816	321	0.9476943132	0.0523056868	7768.089926058897	428.7408642133607
200811	5666	5423	243	0.9571126015	0.0428873985	7874.58742999197	352.8535396437486
200812	5166	4927	239	0.9537359659	0.0462640341	7719.6061073725605	374.4643514637796
200901	4983	4704	279	0.9440096328	0.0559903672	7558.289936901776	448.2914312065467
200902	5072	4848	224	0.9558359621	0.0441640379	7772.606372318747	359.1303274338695
200903	6139	5895	244	0.9602541130	0.0397458870	7948.825475075477	329.0099094009188
200904	6472	6218	254	0.9607540173	0.0392459827	8283.57592567429	338.3770159410211
200905	6313	6060	253	0.9599239664	0.0400760336	7992.455965656179	333.6784421305303
200906	5732	5532	200	0.9651081647	0.0348918353	8059.769337910056	291.38717779862816
