period	v1ipm	v1abs
1998	96.99634647094959	3
1999	46.51997368298632	28
2000	247.79008947376929	46
2001	139.51609942357823	38
2002	141.0938725753018	25
2003	144.4292250207326	31
2004	340.7735559720566	198
2005	169.49472983507349	771
2006	110.10293860155505	864
2007	168.45051796076336	3084
2008	224.93800814172806	9323
2009	236.48314208630597	16894
2010	221.22917807700233	20305
2011	214.91102773462387	20056
2012	214.35035115052213	15248
2013	231.85197242886036	11963
2014	359.8125216907636	7698
2015		
2016		
2017		
