period	v1ipm	v1abs
2003	147.85674201175462	1012
2004	229.64450199639148	22151
2005	264.14560567134583	61382
2006	310.198000504704	145527
2007	332.47605677163205	211109
2008	333.5025055996388	207686
2009	316.33522516523476	187668
2010	306.2143606506435	126205
2011	316.40739824699557	114129
2012	298.7163484459633	86759
2013	293.7467700875298	61028
2014	275.66919301220577	38185
2015	277.7203065580749	24657
2016	266.2022606965164	17030
2017	252.1153039383374	15518
2018	239.58295369584394	13542
2019	259.8798891543423	11890
2020	231.56795588819938	9654
2021	209.1636430045463	8512
