period	v1ipm	v1abs
2000	366.54212479747423	2282
2001	416.2125639592119	2456
2002	527.8793236921092	6107
2003	482.99730227765656	6196
2004	417.59178423247073	20027
2005	437.7864003921464	35585
2006	403.29086593607616	49158
2007	402.4660547309632	69563
2008	386.5290977376939	94449
2009	378.61470622256155	115135
2010	365.40437531945565	133765
2011	358.6519217879208	134811
2012	333.2687404211867	120769
2013	305.6844978527401	99747
2014	299.88782431848387	84175
2015	285.21996735736457	68989
2016	257.0789817994161	57416
2017	268.7915771149941	50438
2018	265.67811240990704	50503
2019	268.05259150790744	50144
2020	265.6961431046649	58714
2021	278.30637100461774	59430
