period	v1ipm	v1abs
2004	13.417145770580225	6
2005	19.693114620592453	65
2006	31.159286030501107	130
2007	39.57581949956647	219
2008	43.93279062905777	338
2009	40.74039172845909	361
2010	35.752874510854085	353
2011	32.914917190571366	307
2012	38.5555458118986	368
2013	34.2362021480137	478
2014	23.13832576299562	372
2015	26.295180848360637	505
2016	23.056169338497792	501
2017	20.392131243001415	432
2018	18.06815499373513	340
2019	15.212217270955582	278
2020	16.03667493959415	257
2021	12.884709554946776	193
2022	15.941536512411327	152
