period	v1ipm	v1abs
1998	96.99634647094959	3
1999	184.41846710041006	111
2000	867.2653131581924	161
2001	547.0499687924514	149
2002	485.3629216590382	86
2003	498.51377668446406	107
2004	981.0147823437992	570
2005	373.06427565514883	1697
2006	314.88930704217887	2471
2007	535.6660926203652	9807
2008	692.8853070700576	28718
2009	693.4076551667605	49536
2010	666.1389779673934	61140
2011	622.4983214094289	58093
2012	626.6036563603997	44574
2013	671.0780236831664	34626
2014	939.4481519177264	20099
2015		
2016		
2017		
