period	v1ipm	v1abs
2003	416.68718203312665	2852
2004	577.8590084771281	55739
2005	639.1142829736938	148517
2006	727.4445472128393	341275
2007	779.6522505088979	495048
2008	791.1511366502646	492683
2009	758.0529310341102	449720
2010	741.1307104962693	305454
2011	731.9019419236881	263999
2012	672.5499132504092	195335
2013	635.3089759430599	131990
2014	610.9698521572076	84630
2015	606.1144038938106	53813
2016	584.175624588973	37372
2017	533.2633471560799	32823
2018	514.408060970341	29076
2019	553.8130051633915	25338
2020	487.8182638179315	20337
2021	440.02506523524556	17907
