period	v1ipm	v1abs
2000	882.4638184212636	5494
2001	922.4124534324063	5443
2002	1265.2853348952176	14638
2003	1144.8969300438898	14687
2004	1036.7961395811224	49723
2005	1131.7611948201522	91994
2006	1059.354319657588	129127
2007	1046.9741059208177	180961
2008	981.1968034208543	239757
2009	983.1848012840048	298982
2010	937.3517538004561	343140
2011	923.0755650422541	346968
2012	869.9746610176692	315259
2013	798.6925736702184	260619
2014	809.1039409524632	227106
2015	792.620373128855	191719
2016	745.6123283431059	166525
2017	778.7484270552775	146130
2018	794.16728831652	150964
2019	788.6714081070343	147535
2020	805.8991114447435	178089
2021	840.3185282211277	179443
