period	v1ipm	v1abs
2004	60.37715596761101	27
2005	65.13876374503657	215
2006	92.27942401340712	385
2007	115.83607442567173	641
2008	122.56988628166118	943
2009	104.16449187082473	923
2010	110.19582852070607	1088
2011	107.10749926182669	999
2012	118.80975258340492	1134
2013	106.43304684508026	1486
2014	77.12775254331873	1240
2015	67.58642523004377	1298
2016	52.002936831342325	1130
2017	47.01519147691993	996
2018	41.025340162245655	772
2019	35.78701473095306	654
2020	31.386955231968322	503
2021	25.836179263027994	387
2022	29.15623125296282	278
